GPA,gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded_[0],cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
4,Female,2,430,nill,315,1,Sweets,"Stress, ",1,4,1,1,Other,2,2,Other,1,3,2,3,4,1,4,Other,other,4,1,"Tacos, Spaghetti, and Roast",1,5,2,4,2,"Balanced Meal",Vegetarian,7,5,4,5,3,1,"Steak, Chicken, Tacos",4,Other,3,1,1,3,4,1,2,1,4,940,345,Other,5,1,760,155
4,Female,1,720,3,420,2,Snacks,"Stress, Boredom, ",1,5,1,1,Other,1,1,"Healthier Eating",2,5,2,3,2,1,3,Other,american,5,2,Pizza,1,4,3,1,8,"Vegetarian Meal",Other,4,1,1,3,8,1,"Pizza, salad",2,Other,5,3,1,3,1,3,1,2,1,1165,500,Other,5,2,760,169
3,Female,1,610,4,980,1,"Fast Food",other,5,3,5,1,Other,4,1,Other,1,3,3,3,5,1,2,Other,other,0,1,"Steak ",1,5,2,5,8,Other,Other,5,6,5,5,8,1,"Steak, Chicken, Pasta ",2,Other,5,1,1,3,5,2,1,1,5,1165,500,Other,4,1,1315,185
4,Female,1,610,3,420,2,Other,"Stress, Boredom, Anger, ",1,1,1,2,Vegetarian,1,1,"Healthier Eating",2,5,3,3,5,1,4,Other,italian,1,1,"Chicken Alfredo",2,5,2,5,10,"Vegetarian Meal",Other,7,6,4,5,10,1,"Chicken, Steak, Pasta",5,Teacher,4,1,1,6,2,2,1,1,4,940,690,Other,5,1,900,165
3,Male,2,610,2,315,2,Snacks,"Stress, Boredom, ",2,3,2,nill,Other,2,2,Other,4,10,5,3,3,1,1,Other,italian,1,1,"steak and cheesy potatoes",1,4,1,3,8,"Vegetarian Meal",Other,5,3,2,5,8,1,"mac n cheese, steak, potatos",3,Other,3,1,2,2,2,3,1,1,3,940,500,Other,4,2,900,192
4,Female,1,720,4,315,2,Sweets,"Boredom, Sadness, ",2,3,2,1,Vegetarian,1,1,"Increased Eating",2,5,4,3,5,1,4,Other,thai,4,1,Meatloaf,1,5,4,4,1,"Vegetarian Meal",Other,2,6,5,5,1,1,"Chicken, Beef, Steak",4,"Medical Professional",4,2,1,4,4,2,1,1,5,1165,500,Other,5,1,1315,175
3,Male,1,610,4,980,2,Sweets,other,9,2,9,1,Other,1,1,Other,2,5,3,2,2,1,2,Business,other,5,3,"Pizza pasta and quesadillas ",2,4,2,5,9,Other,Vegetarian,2,5,2,5,10,1,"chicken, pizza, stuffed shells",4,Other,5,1,1,3,1,2,2,1,2,725,345,Other,4,1,1315,140
4,Male,1,610,3,420,2,Sweets,"Stress, Boredom, Sadness, ",1,1,1,2,Vegetarian,3,2,Other,1,11,2,2,5,2,4,Other,mexican,2,1,Steak,2,5,3,5,4,"Vegetarian Meal",Vegetarian,6,5,5,5,1,1,"steak, noodles, edemame",5,Other,2,2,1,4,4,3,1,1,5,1165,690,Other,5,1,1315,155
4,Male,1,610,4,420,2,Other,"Boredom, Sadness, ",3,2,3,1,Vegetarian,1,2,"Increased Eating",3,4,5,3,5,1,4,Other,mexican,2,1,lasagna,1,5,1,4,3,"Vegetarian Meal",Other,6,6,1,5,5,1,"Lasagna, steak, chili ",4,Other,4,1,1,3,1,2,1,1,1,1165,690,"Individual Sport",5,1,1315,135
4,Female,1,610,4,980,2,Sweets,"Boredom, Sadness, ",2,3,2,1,Other,1,1,Other,2,5,5,2,2,1,2,Other,italian,1,1,"Pizza, Pasta, Chicken",1,4,4,3,2,"Low-carb Meal",Other,7,6,2,5,1,1,"pasta, chicken, vegetables",2,Other,4,1,2,3,2,2,1,1,2,1165,850,Other,4,1,1315,210
